Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
858, Mirror Reflection,62.40%,FALSE,https://leetcode.com/problems/mirror-reflection/description,https://leetcode.com/problems/mirror-reflection/solutions,Edge Case Intensive
859, Buddy Strings,33.20%,FALSE,https://leetcode.com/problems/buddy-strings/description,https://leetcode.com/problems/buddy-strings/solutions,Easy
860, Lemonade Change,58.30%,FALSE,https://leetcode.com/problems/lemonade-change/description,https://leetcode.com/problems/lemonade-change/solutions,Easy
861, Score After Flipping Matrix,80.40%,FALSE,https://leetcode.com/problems/score-after-flipping-matrix/description,https://leetcode.com/problems/score-after-flipping-matrix/solutions,Edge Case Intensive
862, Shortest Subarray with Sum at Least K,26.20%,FALSE,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/description,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/solutions,Hard
862, Shortest Subarray with Sum at Least K,26.20%,FALSE,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/description,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/solutions,Optimization Required
863, All Nodes Distance K in Binary Tree,65.00%,FALSE,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/description,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/solutions,Edge Case Intensive
864, Shortest Path to Get All Keys,53.50%,FALSE,https://leetcode.com/problems/shortest-path-to-get-all-keys/description,https://leetcode.com/problems/shortest-path-to-get-all-keys/solutions,Hard
865, Smallest Subtree with all the Deepest Nodes,71.00%,FALSE,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/description,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/solutions,Edge Case Intensive
866, Prime Palindrome,26.20%,FALSE,https://leetcode.com/problems/prime-palindrome/description,https://leetcode.com/problems/prime-palindrome/solutions,Tricky
866, Prime Palindrome,26.20%,FALSE,https://leetcode.com/problems/prime-palindrome/description,https://leetcode.com/problems/prime-palindrome/solutions,Optimization Required
867, Transpose Matrix,72.50%,FALSE,https://leetcode.com/problems/transpose-matrix/description,https://leetcode.com/problems/transpose-matrix/solutions,Easy
868, Binary Gap,64.00%,FALSE,https://leetcode.com/problems/binary-gap/description,https://leetcode.com/problems/binary-gap/solutions,Easy
869, Reordered Power of 2,62.60%,FALSE,https://leetcode.com/problems/reordered-power-of-2/description,https://leetcode.com/problems/reordered-power-of-2/solutions,Edge Case Intensive
870, Advantage Shuffle,52.80%,FALSE,https://leetcode.com/problems/advantage-shuffle/description,https://leetcode.com/problems/advantage-shuffle/solutions,Edge Case Intensive
871, Minimum Number of Refueling Stops,40.20%,FALSE,https://leetcode.com/problems/minimum-number-of-refueling-stops/description,https://leetcode.com/problems/minimum-number-of-refueling-stops/solutions,Hard
872, Leaf-Similar Trees,70.10%,FALSE,https://leetcode.com/problems/leaf-similar-trees/description,https://leetcode.com/problems/leaf-similar-trees/solutions,Easy
873, Length of Longest Fibonacci Subsequence,48.50%,FALSE,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/description,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/solutions,Edge Case Intensive
874, Walking Robot Simulation,57.90%,FALSE,https://leetcode.com/problems/walking-robot-simulation/description,https://leetcode.com/problems/walking-robot-simulation/solutions,Edge Case Intensive
875, Koko Eating Bananas,48.40%,FALSE,https://leetcode.com/problems/koko-eating-bananas/description,https://leetcode.com/problems/koko-eating-bananas/solutions,Edge Case Intensive
876, Middle of the Linked List,79.30%,FALSE,https://leetcode.com/problems/middle-of-the-linked-list/description,https://leetcode.com/problems/middle-of-the-linked-list/solutions,Easy
877, Stone Game,71.10%,FALSE,https://leetcode.com/problems/stone-game/description,https://leetcode.com/problems/stone-game/solutions,Edge Case Intensive
878, Nth Magical Number,35.60%,FALSE,https://leetcode.com/problems/nth-magical-number/description,https://leetcode.com/problems/nth-magical-number/solutions,Hard
879, Profitable Schemes,48.20%,FALSE,https://leetcode.com/problems/profitable-schemes/description,https://leetcode.com/problems/profitable-schemes/solutions,Hard
880, Decoded String at Index,36.50%,FALSE,https://leetcode.com/problems/decoded-string-at-index/description,https://leetcode.com/problems/decoded-string-at-index/solutions,Tricky
881, Boats to Save People,59.60%,FALSE,https://leetcode.com/problems/boats-to-save-people/description,https://leetcode.com/problems/boats-to-save-people/solutions,Edge Case Intensive
882, Reachable Nodes In Subdivided Graph,50.60%,FALSE,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/description,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/solutions,Hard
883, Projection Area of 3D Shapes,73.30%,FALSE,https://leetcode.com/problems/projection-area-of-3d-shapes/description,https://leetcode.com/problems/projection-area-of-3d-shapes/solutions,Easy
884, Uncommon Words from Two Sentences,75.10%,FALSE,https://leetcode.com/problems/uncommon-words-from-two-sentences/description,https://leetcode.com/problems/uncommon-words-from-two-sentences/solutions,Easy
885, Spiral Matrix III,84.60%,FALSE,https://leetcode.com/problems/spiral-matrix-iii/description,https://leetcode.com/problems/spiral-matrix-iii/solutions,Edge Case Intensive
886, Possible Bipartition,50.80%,FALSE,https://leetcode.com/problems/possible-bipartition/description,https://leetcode.com/problems/possible-bipartition/solutions,Edge Case Intensive
887, Super Egg Drop,28.00%,FALSE,https://leetcode.com/problems/super-egg-drop/description,https://leetcode.com/problems/super-egg-drop/solutions,Hard
887, Super Egg Drop,28.00%,FALSE,https://leetcode.com/problems/super-egg-drop/description,https://leetcode.com/problems/super-egg-drop/solutions,Optimization Required
888, Fair Candy Swap,62.20%,FALSE,https://leetcode.com/problems/fair-candy-swap/description,https://leetcode.com/problems/fair-candy-swap/solutions,Easy
889, Construct Binary Tree from Preorder and Postorder Traversal,71.70%,FALSE,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/solutions,Edge Case Intensive
890, Find and Replace Pattern,76.80%,FALSE,https://leetcode.com/problems/find-and-replace-pattern/description,https://leetcode.com/problems/find-and-replace-pattern/solutions,Edge Case Intensive
891, Sum of Subsequence Widths,38.30%,FALSE,https://leetcode.com/problems/sum-of-subsequence-widths/description,https://leetcode.com/problems/sum-of-subsequence-widths/solutions,Hard
892, Surface Area of 3D Shapes,66.80%,FALSE,https://leetcode.com/problems/surface-area-of-3d-shapes/description,https://leetcode.com/problems/surface-area-of-3d-shapes/solutions,Easy
893, Groups of Special-Equivalent Strings,72.10%,FALSE,https://leetcode.com/problems/groups-of-special-equivalent-strings/description,https://leetcode.com/problems/groups-of-special-equivalent-strings/solutions,Edge Case Intensive
894, All Possible Full Binary Trees,82.80%,FALSE,https://leetcode.com/problems/all-possible-full-binary-trees/description,https://leetcode.com/problems/all-possible-full-binary-trees/solutions,Edge Case Intensive
895, Maximum Frequency Stack,66.50%,FALSE,https://leetcode.com/problems/maximum-frequency-stack/description,https://leetcode.com/problems/maximum-frequency-stack/solutions,Hard
896, Monotonic Array,61.40%,FALSE,https://leetcode.com/problems/monotonic-array/description,https://leetcode.com/problems/monotonic-array/solutions,Easy
896, Monotonic Array,61.40%,FALSE,https://leetcode.com/problems/monotonic-array/description,https://leetcode.com/problems/monotonic-array/solutions,MultiConcept
897, Increasing Order Search Tree,78.40%,FALSE,https://leetcode.com/problems/increasing-order-search-tree/description,https://leetcode.com/problems/increasing-order-search-tree/solutions,Easy
898, Bitwise ORs of Subarrays,39.60%,FALSE,https://leetcode.com/problems/bitwise-ors-of-subarrays/description,https://leetcode.com/problems/bitwise-ors-of-subarrays/solutions,Tricky
899, Orderly Queue,66.00%,FALSE,https://leetcode.com/problems/orderly-queue/description,https://leetcode.com/problems/orderly-queue/solutions,Hard
900, RLE Iterator,59.60%,FALSE,https://leetcode.com/problems/rle-iterator/description,https://leetcode.com/problems/rle-iterator/solutions,Edge Case Intensive
901, Online Stock Span,66.60%,FALSE,https://leetcode.com/problems/online-stock-span/description,https://leetcode.com/problems/online-stock-span/solutions,Edge Case Intensive
902, Numbers At Most N Given Digit Set,42.70%,FALSE,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/description,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/solutions,Hard
903, Valid Permutations for DI Sequence,57.30%,FALSE,https://leetcode.com/problems/valid-permutations-for-di-sequence/description,https://leetcode.com/problems/valid-permutations-for-di-sequence/solutions,Hard
904, Fruit Into Baskets,44.90%,FALSE,https://leetcode.com/problems/fruit-into-baskets/description,https://leetcode.com/problems/fruit-into-baskets/solutions,Edge Case Intensive
905, Sort Array By Parity,76.20%,FALSE,https://leetcode.com/problems/sort-array-by-parity/description,https://leetcode.com/problems/sort-array-by-parity/solutions,Easy
905, Sort Array By Parity,76.20%,FALSE,https://leetcode.com/problems/sort-array-by-parity/description,https://leetcode.com/problems/sort-array-by-parity/solutions,MultiConcept
906, Super Palindromes,39.00%,FALSE,https://leetcode.com/problems/super-palindromes/description,https://leetcode.com/problems/super-palindromes/solutions,Hard
907, Sum of Subarray Minimums,37.30%,FALSE,https://leetcode.com/problems/sum-of-subarray-minimums/description,https://leetcode.com/problems/sum-of-subarray-minimums/solutions,Tricky
908, Smallest Range I,70.70%,FALSE,https://leetcode.com/problems/smallest-range-i/description,https://leetcode.com/problems/smallest-range-i/solutions,Easy
909, Snakes and Ladders,43.90%,FALSE,https://leetcode.com/problems/snakes-and-ladders/description,https://leetcode.com/problems/snakes-and-ladders/solutions,Edge Case Intensive
910, Smallest Range II,36.50%,FALSE,https://leetcode.com/problems/smallest-range-ii/description,https://leetcode.com/problems/smallest-range-ii/solutions,Tricky
911, Online Election,52.20%,FALSE,https://leetcode.com/problems/online-election/description,https://leetcode.com/problems/online-election/solutions,Edge Case Intensive
912, Sort an Array,57.80%,FALSE,https://leetcode.com/problems/sort-an-array/description,https://leetcode.com/problems/sort-an-array/solutions,Edge Case Intensive
912, Sort an Array,57.80%,FALSE,https://leetcode.com/problems/sort-an-array/description,https://leetcode.com/problems/sort-an-array/solutions,MultiConcept
913, Cat and Mouse,33.80%,FALSE,https://leetcode.com/problems/cat-and-mouse/description,https://leetcode.com/problems/cat-and-mouse/solutions,Hard
914, X of a Kind in a Deck of Cards,29.90%,FALSE,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/description,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/solutions,Easy
914, X of a Kind in a Deck of Cards,29.90%,FALSE,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/description,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/solutions,Optimization Required
915, Partition Array into Disjoint Intervals,48.80%,FALSE,https://leetcode.com/problems/partition-array-into-disjoint-intervals/description,https://leetcode.com/problems/partition-array-into-disjoint-intervals/solutions,Edge Case Intensive
915, Partition Array into Disjoint Intervals,48.80%,FALSE,https://leetcode.com/problems/partition-array-into-disjoint-intervals/description,https://leetcode.com/problems/partition-array-into-disjoint-intervals/solutions,MultiConcept
916, Word Subsets,51.80%,FALSE,https://leetcode.com/problems/word-subsets/description,https://leetcode.com/problems/word-subsets/solutions,Edge Case Intensive
917, Reverse Only Letters,65.50%,FALSE,https://leetcode.com/problems/reverse-only-letters/description,https://leetcode.com/problems/reverse-only-letters/solutions,Easy
918, Maximum Sum Circular Subarray,45.70%,FALSE,https://leetcode.com/problems/maximum-sum-circular-subarray/description,https://leetcode.com/problems/maximum-sum-circular-subarray/solutions,Edge Case Intensive
919, Complete Binary Tree Inserter,66.00%,FALSE,https://leetcode.com/problems/complete-binary-tree-inserter/description,https://leetcode.com/problems/complete-binary-tree-inserter/solutions,Edge Case Intensive
923, 3Sum With Multiplicity,45.50%,FALSE,https://leetcode.com/problems/3sum-with-multiplicity/description,https://leetcode.com/problems/3sum-with-multiplicity/solutions,Edge Case Intensive
924, Minimize Malware Spread,42.10%,FALSE,https://leetcode.com/problems/minimize-malware-spread/description,https://leetcode.com/problems/minimize-malware-spread/solutions,Hard
